iteration,loss,ce_loss,accuracy,two_qubit_count,mask_sparsity,active_entanglers
0,2.3736123557489224,1.773612355748922,0.0,6,1.0,3
1,2.3720895659780217,1.7720895659780218,0.0,6,1.0,3
2,2.3705181101399013,1.770518110139901,0.0,6,1.0,3
3,2.36889501279765,1.7688950127976497,0.0,6,1.0,3
4,2.367217171288209,1.767217171288209,0.0,6,1.0,3
5,2.365481351757823,1.765481351757823,0.0,6,1.0,3
6,2.363684185279361,1.7636841852793608,0.0,6,1.0,3
7,2.361822164079572,1.7618221640795717,0.0,6,1.0,3
8,2.3598916379048505,1.7598916379048504,0.0,6,1.0,3
9,2.357888810559339,1.757888810559339,0.0,6,1.0,3
10,2.355809736648515,1.7558097366485148,0.0,6,1.0,3
11,2.3536503185664874,1.7536503185664873,0.0,6,1.0,3
12,2.35140630376459,1.7514063037645897,0.0,6,1.0,3
13,2.3490732823452163,1.749073282345216,0.0,6,1.0,3
14,2.3466466850186385,1.7466466850186384,0.0,6,1.0,3
15,2.344121781474841,1.744121781474841,0.0,6,1.0,3
16,2.3414936792103713,1.7414936792103712,0.0,6,1.0,3
17,2.338757322859364,1.7387573228593638,0.0,6,1.0,3
18,2.3359074940759617,1.7359074940759616,0.0,6,1.0,3
19,2.332938812014571,1.732938812014571,0.0,6,1.0,3
20,1.7155583916486343,1.7155583916486343,0.0,0,0.0,0
21,1.7121475192947682,1.7121475192947682,0.0,0,0.0,0
22,1.7085440741737288,1.7085440741737288,0.0,0,0.0,0
23,1.7047381997353692,1.7047381997353692,0.0,0,0.0,0
24,1.7007197248666095,1.7007197248666095,0.0,0,0.0,0
25,1.6964781774936828,1.6964781774936828,0.0,0,0.0,0
26,1.6920028017217192,1.6920028017217192,0.0,0,0.0,0
27,1.6872825787982415,1.6872825787982415,0.0,0,0.0,0
28,1.6823062521655925,1.6823062521655925,0.0,0,0.0,0
29,1.6770623568453125,1.6770623568453125,0.0,0,0.0,0
30,1.6715392533782312,1.6715392533782312,0.0,0,0.0,0
31,1.665725166500579,1.665725166500579,0.0,0,0.0,0
32,1.6596082286914746,1.6596082286914746,0.0,0,0.0,0
33,1.6531765286728068,1.6531765286728068,0.0,0,0.0,0
34,1.6464181648787104,1.6464181648787104,0.0,0,0.0,0
35,1.6393213038338148,1.6393213038338148,0.0,0,0.0,0
36,1.6318742433102216,1.6318742433102216,0.0,0,0.0,0
37,1.6240654800234962,1.6240654800234962,0.0,0,0.0,0
38,1.615883781553738,1.615883781553738,0.0,0,0.0,0
39,1.6073182620805313,1.6073182620805313,0.0,0,0.0,0
40,1.5983584614064181,1.5983584614064181,0.0,0,0.0,0
41,1.588994426676555,1.588994426676555,0.0,0,0.0,0
42,1.5792167960977928,1.5792167960977928,0.0,0,0.0,0
43,1.5690168838972915,1.5690168838972915,0.0,0,0.0,0
44,1.5583867657029251,1.5583867657029251,0.125,0,0.0,0
45,1.5473193634711724,1.5473193634711724,0.125,0,0.0,0
46,1.5358085290966739,1.5358085290966739,0.125,0,0.0,0
47,1.523849125813363,1.523849125813363,0.125,0,0.0,0
48,1.5114371065515706,1.5114371065515706,0.25,0,0.0,0
49,1.4985695884485928,1.4985695884485928,0.25,0,0.0,0
50,1.4852449228034428,1.4852449228034428,0.375,0,0.0,0
51,1.4714627598490793,1.4714627598490793,0.375,0,0.0,0
52,1.4572241078410895,1.4572241078410895,0.375,0,0.0,0
53,1.4425313860574882,1.4425313860574882,0.375,0,0.0,0
54,1.4273884714461933,1.4273884714461933,0.375,0,0.0,0
55,1.4118007387403304,1.4118007387403304,0.375,0,0.0,0
56,1.3957750939797724,1.3957750939797724,0.375,0,0.0,0
57,1.3793200014146771,1.3793200014146771,0.375,0,0.0,0
58,1.3624455038120145,1.3624455038120145,0.375,0,0.0,0
59,1.3451632361856771,1.3451632361856771,0.375,0,0.0,0
60,1.3274864329009048,1.3274864329009048,0.375,0,0.0,0
61,1.3094299280394128,1.3094299280394128,0.375,0,0.0,0
62,1.2910101487497325,1.2910101487497325,0.375,0,0.0,0
63,1.2722451011887832,1.2722451011887832,0.375,0,0.0,0
64,1.2531543484239076,1.2531543484239076,0.375,0,0.0,0
65,1.2337589795379404,1.2337589795379404,0.375,0,0.0,0
66,1.214081568927632,1.214081568927632,0.375,0,0.0,0
67,1.1941461246940013,1.1941461246940013,0.375,0,0.0,0
68,1.173978024855526,1.173978024855526,0.375,0,0.0,0
69,1.1536039401051557,1.1536039401051557,0.375,0,0.0,0
70,1.1330517418420853,1.1330517418420853,0.375,0,0.0,0
71,1.1123503943512592,1.1123503943512592,0.375,0,0.0,0
72,1.0915298302230036,1.0915298302230036,0.5,0,0.0,0
73,1.0706208084792748,1.0706208084792748,0.5,0,0.0,0
74,1.0496547553068183,1.0496547553068183,0.5,0,0.0,0
75,1.0286635878791768,1.0286635878791768,0.5,0,0.0,0
76,1.0076795223763626,1.0076795223763626,0.5,0,0.0,0
77,0.9867348680272479,0.9867348680272479,0.5,0,0.0,0
78,0.9658618097150883,0.9658618097150883,0.5,0,0.0,0
79,0.9450921823640102,0.9450921823640102,0.5,0,0.0,0
80,0.9244572409931806,0.9244572409931806,0.5,0,0.0,0
81,0.903987430794463,0.903987430794463,0.5,0,0.0,0
