iteration,loss,ce_loss,accuracy,two_qubit_count,mask_sparsity,active_entanglers
0,1.4099256959001367,0.8099256959001366,0.0,6,1.0,3
1,1.409746484506971,0.8097464845069708,0.0,6,1.0,3
2,1.4095673551530485,0.8095673551530485,0.0,6,1.0,3
3,1.4093883074229572,0.8093883074229572,0.0,6,1.0,3
4,1.4092093409107782,0.8092093409107781,0.0,6,1.0,3
5,1.409030455220166,0.8090304552201658,0.0,6,1.0,3
6,1.4088516499643124,0.8088516499643124,0.0,6,1.0,3
7,1.4086729247658627,0.8086729247658626,0.0,6,1.0,3
8,1.4084942792570265,0.8084942792570263,0.0,6,1.0,3
9,1.408315713079586,0.8083157130795859,0.0,6,1.0,3
10,1.4081372258847917,0.8081372258847918,0.0,6,1.0,3
11,1.4079588173334214,0.8079588173334213,0.0,6,1.0,3
12,1.4077804870958563,0.8077804870958561,0.0,6,1.0,3
13,1.4076022348519541,0.8076022348519541,0.0,6,1.0,3
14,1.407424060290932,0.8074240602909319,0.0,6,1.0,3
15,1.4072459631117313,0.8072459631117311,0.0,6,1.0,3
16,1.4070679430227035,0.8070679430227033,0.0,6,1.0,3
17,1.4068899997416624,0.8068899997416623,0.0,6,1.0,3
18,1.4067121329958834,0.8067121329958832,0.0,6,1.0,3
19,1.4065343425222183,0.8065343425222182,0.0,6,1.0,3
20,0.7977122632182221,0.7977122632182221,0.0,0,0.0,0
21,0.7976148411569408,0.7976148411569408,0.0,0,0.0,0
22,0.797517407906233,0.797517407906233,0.0,0,0.0,0
23,0.7974199628800126,0.7974199628800126,0.0,0,0.0,0
24,0.7973225054916869,0.7973225054916869,0.0,0,0.0,0
25,0.7972250351539999,0.7972250351539999,0.0,0,0.0,0
26,0.7971275512791549,0.7971275512791549,0.0,0,0.0,0
27,0.7970300532788137,0.7970300532788137,0.0,0,0.0,0
28,0.7969325405640104,0.7969325405640104,0.0,0,0.0,0
29,0.7968350125451344,0.7968350125451344,0.0,0,0.0,0
30,0.7967374686320072,0.7967374686320072,0.0,0,0.0,0
31,0.7966399082338563,0.7966399082338563,0.0,0,0.0,0
32,0.7965423307592395,0.7965423307592395,0.0,0,0.0,0
33,0.7964447356160953,0.7964447356160953,0.0,0,0.0,0
34,0.7963471222117207,0.7963471222117207,0.0,0,0.0,0
35,0.7962494899527609,0.7962494899527609,0.0,0,0.0,0
36,0.7961518382452106,0.7961518382452106,0.0,0,0.0,0
37,0.7960541664944065,0.7960541664944065,0.0,0,0.0,0
38,0.795956474104982,0.795956474104982,0.0,0,0.0,0
39,0.7958587604809253,0.7958587604809253,0.0,0,0.0,0
40,0.7957610250255198,0.7957610250255198,0.0,0,0.0,0
41,0.795663267141373,0.795663267141373,0.0,0,0.0,0
42,0.7955654862303613,0.7955654862303613,0.0,0,0.0,0
43,0.7954676816936903,0.7954676816936903,0.0,0,0.0,0
44,0.7953698529318068,0.7953698529318068,0.0,0,0.0,0
45,0.7952719993444705,0.7952719993444705,0.0,0,0.0,0
46,0.7951741203307129,0.7951741203307129,0.0,0,0.0,0
47,0.7950762152887682,0.7950762152887682,0.0,0,0.0,0
48,0.7949782836162363,0.7949782836162363,0.0,0,0.0,0
49,0.7948803247098932,0.7948803247098932,0.0,0,0.0,0
50,0.7947823379657573,0.7947823379657573,0.0,0,0.0,0
51,0.7946843227791037,0.7946843227791037,0.0,0,0.0,0
52,0.7945862785444442,0.7945862785444442,0.0,0,0.0,0
53,0.7944882046554915,0.7944882046554915,0.0,0,0.0,0
54,0.7943901005052004,0.7943901005052004,0.0,0,0.0,0
55,0.7942919654857206,0.7942919654857206,0.0,0,0.0,0
56,0.7941937989884351,0.7941937989884351,0.0,0,0.0,0
57,0.7940956004039046,0.7940956004039046,0.0,0,0.0,0
58,0.7939973691218553,0.7939973691218553,0.0,0,0.0,0
59,0.7938991045312588,0.7938991045312588,0.0,0,0.0,0
60,0.7938008060202518,0.7938008060202518,0.0,0,0.0,0
61,0.7937024729761449,0.7937024729761449,0.0,0,0.0,0
62,0.7936041047853835,0.7936041047853835,0.0,0,0.0,0
63,0.7935057008336169,0.7935057008336169,0.0,0,0.0,0
64,0.7934072605056678,0.7934072605056678,0.0,0,0.0,0
65,0.7933087831854954,0.7933087831854954,0.0,0,0.0,0
66,0.793210268256207,0.793210268256207,0.0,0,0.0,0
67,0.7931117151000414,0.7931117151000414,0.0,0,0.0,0
68,0.7930131230983853,0.7930131230983853,0.0,0,0.0,0
69,0.7929144916317773,0.7929144916317773,0.0,0,0.0,0
70,0.7928158200798706,0.7928158200798706,0.0,0,0.0,0
71,0.7927171078214712,0.7927171078214712,0.0,0,0.0,0
72,0.792618354234493,0.792618354234493,0.0,0,0.0,0
73,0.7925195586959146,0.7925195586959146,0.0,0,0.0,0
74,0.7924207205819066,0.7924207205819066,0.0,0,0.0,0
75,0.7923218392676706,0.7923218392676706,0.0,0,0.0,0
76,0.792222914127576,0.792222914127576,0.0,0,0.0,0
77,0.792123944535089,0.792123944535089,0.0,0,0.0,0
78,0.7920249298627342,0.7920249298627342,0.0,0,0.0,0
79,0.791925869482157,0.791925869482157,0.0,0,0.0,0
80,0.7918267627640907,0.7918267627640907,0.0,0,0.0,0
81,0.791727609078338,0.791727609078338,0.0,0,0.0,0
82,0.7916284077937995,0.7916284077937995,0.0,0,0.0,0
83,0.7915291582784219,0.7915291582784219,0.0,0,0.0,0
84,0.7914298598992837,0.7914298598992837,0.0,0,0.0,0
85,0.7913305120225117,0.7913305120225117,0.0,0,0.0,0
86,0.7912311140132882,0.7912311140132882,0.0,0,0.0,0
87,0.7911316652358747,0.7911316652358747,0.0,0,0.0,0
88,0.7910321650535928,0.7910321650535928,0.0,0,0.0,0
89,0.7909326128288268,0.7909326128288268,0.0,0,0.0,0
90,0.7908330079230426,0.7908330079230426,0.0,0,0.0,0
91,0.7907333496967415,0.7907333496967415,0.0,0,0.0,0
92,0.7906336375095163,0.7906336375095163,0.0,0,0.0,0
93,0.790533870719945,0.790533870719945,0.0,0,0.0,0
94,0.7904340486857127,0.7904340486857127,0.0,0,0.0,0
95,0.7903341707635496,0.7903341707635496,0.0,0,0.0,0
96,0.7902342363092507,0.7902342363092507,0.0,0,0.0,0
97,0.790134244677627,0.790134244677627,0.0,0,0.0,0
98,0.7900341952225386,0.7900341952225386,0.0,0,0.0,0
99,0.7899340872969214,0.7899340872969214,0.0,0,0.0,0
