iteration,loss,ce_loss,accuracy,two_qubit_count,mask_sparsity,active_entanglers
0,0.9148554144609702,0.8248554144609702,0.5,9,1.0,3
1,0.9139248677624878,0.8239248677624879,0.5,9,1.0,3
2,0.9129168756667515,0.8229168756667515,0.5,9,1.0,3
3,0.9118259972258204,0.8218259972258204,0.5,9,1.0,3
4,0.9106465340168154,0.8206465340168154,0.5,9,1.0,3
5,0.9093725180011389,0.819372518001139,0.5,9,1.0,3
6,0.9079976942223168,0.8179976942223168,0.5,9,1.0,3
7,0.9065154974990993,0.8165154974990994,0.5,9,1.0,3
8,0.9049190229321312,0.8149190229321313,0.5,9,1.0,3
9,0.9032009911884903,0.8132009911884903,0.5,9,1.0,3
10,0.9013537113856486,0.8113537113856486,0.5,9,1.0,3
11,0.8993690470636033,0.8093690470636034,0.5,9,1.0,3
12,0.8972383943923273,0.8072383943923274,0.5,9,1.0,3
13,0.8949526864295749,0.804952686429575,0.5,9,1.0,3
14,0.892502442759056,0.802502442759056,0.5,9,1.0,3
15,0.8898778897878132,0.7998778897878133,0.5,9,1.0,3
16,0.8870691824395849,0.7970691824395849,0.5,9,1.0,3
17,0.8840667615119714,0.7940667615119714,0.5,9,1.0,3
18,0.880861880399557,0.7908618803995571,0.5,9,1.0,3
19,0.8774473275445182,0.7874473275445182,0.5,9,1.0,3
20,0.8738183539648551,0.7838183539648551,0.5,9,1.0,3
21,0.8699737863066609,0.7799737863066609,0.5,9,1.0,3
22,0.8659172648780425,0.7759172648780426,0.5,9,1.0,3
23,0.8616584964913785,0.7716584964913785,0.5,9,1.0,3
24,0.8572143621846828,0.7672143621846829,0.5,9,1.0,3
25,0.8526096835834198,0.7626096835834199,0.5,9,1.0,3
26,0.8478774451962016,0.7578774451962016,0.5,9,1.0,3
27,0.8430583072946198,0.7530583072946199,0.5,9,1.0,3
28,0.8381993297791905,0.7481993297791906,0.5,9,1.0,3
29,0.833351951164281,0.743351951164281,0.5,9,1.0,3
30,0.8285694021520411,0.7385694021520411,0.5,9,1.0,3
31,0.8239038447610709,0.733903844761071,0.5,9,1.0,3
32,0.8194035835067547,0.7294035835067547,0.5,9,1.0,3
33,0.8151106785383501,0.7251106785383501,0.5,9,1.0,3
34,0.8110592084183048,0.7210592084183048,0.5,9,1.0,3
35,0.8072743079687761,0.7172743079687761,0.5,9,1.0,3
36,0.8037719783339944,0.7137719783339944,0.5,9,1.0,3
37,0.8005595617818837,0.7105595617818837,0.5,9,1.0,3
38,0.7976367098253285,0.7076367098253286,0.5,9,1.0,3
39,0.7949966524278532,0.7049966524278533,0.5,9,1.0,3
40,0.7926275899827818,0.7026275899827819,0.5,9,1.0,3
41,0.790514065062347,0.700514065062347,0.5,9,1.0,3
42,0.7886382144077825,0.6986382144077825,0.5,9,1.0,3
43,0.786980843451256,0.696980843451256,0.5,9,1.0,3
44,0.785522300062644,0.695522300062644,0.5,9,1.0,3
45,0.784243149131085,0.694243149131085,0.5,9,1.0,3
46,0.7831246653639308,0.6931246653639308,0.5,9,1.0,3
47,0.7821491699476806,0.6921491699476806,0.5,9,1.0,3
48,0.7813002394849183,0.6913002394849184,0.5,9,1.0,3
49,0.7805628148370103,0.6905628148370103,0.5,9,1.0,3
50,0.7799232346673545,0.6899232346673545,0.5,9,1.0,3
51,0.7793692147426705,0.6893692147426705,0.5,9,1.0,3
52,0.77888979011126,0.6888897901112601,0.5,9,1.0,3
53,0.7784752335875867,0.6884752335875868,0.5,9,1.0,3
54,0.7781169607369146,0.6881169607369146,0.5,9,1.0,3
55,0.7778074288545062,0.6878074288545062,0.5,9,1.0,3
56,0.7775400352596064,0.6875400352596064,0.5,9,1.0,3
57,0.7773090185283495,0.6873090185283496,0.5,9,1.0,3
58,0.7771093650021584,0.6871093650021585,0.5,9,1.0,3
59,0.7769367219466109,0.6869367219466109,0.5,9,1.0,3
60,0.7767873180504621,0.6867873180504621,0.5,9,1.0,3
61,0.7766578914645619,0.6866578914645619,0.5,9,1.0,3
62,0.7765456252546851,0.6865456252546851,0.5,9,1.0,3
63,0.776448089926982,0.686448089926982,0.5,9,1.0,3
64,0.7763631925591394,0.6863631925591395,0.5,9,1.0,3
65,0.77628913200073,0.68628913200073,0.5,9,1.0,3
66,0.7762243595824769,0.686224359582477,0.5,9,1.0,3
67,0.776167544777119,0.686167544777119,0.5,9,1.0,3
68,0.7761175452760244,0.6861175452760244,0.5,9,1.0,3
69,0.77607338097906,0.68607338097906,0.5,9,1.0,3
70,0.7760342114343527,0.6860342114343527,0.5,9,1.0,3
71,0.7759993163064215,0.6859993163064215,0.5,9,1.0,3
72,0.7759680784930756,0.6859680784930756,0.5,9,1.0,3
73,0.7759399695516804,0.6859399695516805,0.5,9,1.0,3
74,0.7759145371342704,0.6859145371342704,0.5,9,1.0,3
75,0.7758913941660006,0.6858913941660006,0.5,9,1.0,3
76,0.7758702095335295,0.6858702095335295,0.5,9,1.0,3
77,0.7758507000792276,0.6858507000792277,0.5,9,1.0,3
78,0.7758326237232036,0.6858326237232036,0.55,9,1.0,3
79,0.7758157735580066,0.6858157735580066,0.6,9,1.0,3
80,0.7757999727814398,0.6857999727814398,0.725,9,1.0,3
81,0.7757850703507889,0.685785070350789,0.9,9,1.0,3
82,0.7757709372575644,0.6857709372575644,0.95,9,1.0,3
83,0.7757574633354939,0.6857574633354939,0.95,9,1.0,3
84,0.7757445545267156,0.6857445545267157,0.975,9,1.0,3
85,0.7757321305409126,0.6857321305409126,0.975,9,1.0,3
86,0.7757201228518906,0.6857201228518907,0.975,9,1.0,3
87,0.7757084729834693,0.6857084729834694,1.0,9,1.0,3
88,0.7756971310431667,0.6856971310431668,1.0,9,1.0,3
89,0.7756860544682945,0.6856860544682946,1.0,9,1.0,3
90,0.775675206954125,0.685675206954125,1.0,9,1.0,3
91,0.7756645575376429,0.6856645575376429,1.0,9,1.0,3
92,0.7756540798146722,0.6856540798146722,1.0,9,1.0,3
93,0.7756437512711692,0.6856437512711693,1.0,9,1.0,3
94,0.7756335527118678,0.6856335527118679,1.0,9,1.0,3
95,0.7756234677726348,0.6856234677726348,1.0,9,1.0,3
96,0.7756134825037411,0.6856134825037411,1.0,9,1.0,3
97,0.7756035850146594,0.6856035850146595,1.0,9,1.0,3
98,0.7755937651704258,0.6855937651704258,1.0,9,1.0,3
99,0.7755840143328572,0.6855840143328572,1.0,9,1.0,3
100,0.7755743251396219,0.6855743251396219,1.0,9,1.0,3
101,0.7755646913158238,0.6855646913158239,1.0,9,1.0,3
102,0.7755551075133885,0.6855551075133886,1.0,9,1.0,3
103,0.7755455691738996,0.6855455691738996,1.0,9,1.0,3
104,0.7755360724118691,0.6855360724118691,1.0,9,1.0,3
105,0.7755266139150325,0.6855266139150326,1.0,9,1.0,3
106,0.7755171908595647,0.6855171908595648,1.0,9,1.0,3
107,0.7755078008375954,0.6855078008375954,1.0,9,1.0,3
108,0.775498441795642,0.685498441795642,1.0,9,1.0,3
109,0.7754891119820398,0.6854891119820399,1.0,9,1.0,3
110,0.7754798099021005,0.6854798099021006,1.0,9,1.0,3
111,0.7754705342800996,0.6854705342800996,1.0,9,1.0,3
112,0.7754612840267251,0.6854612840267251,1.0,9,1.0,3
113,0.7754520582114005,0.6854520582114005,1.0,9,1.0,3
114,0.775442856038742,0.685442856038742,1.0,9,1.0,3
115,0.775433676828502,0.685433676828502,1.0,9,1.0,3
116,0.7754245199984873,0.6854245199984873,1.0,9,1.0,3
117,0.7754153850500135,0.6854153850500135,1.0,9,1.0,3
118,0.7754062715554101,0.6854062715554101,1.0,9,1.0,3
119,0.7753971791475552,0.6853971791475553,1.0,9,1.0,3
120,0.7753881075109538,0.6853881075109538,1.0,9,1.0,3
121,0.7753790563740681,0.6853790563740682,1.0,9,1.0,3
122,0.7753700255027205,0.6853700255027205,1.0,9,1.0,3
123,0.7753610146945823,0.6853610146945823,1.0,9,1.0,3
124,0.7753520237745563,0.6853520237745563,1.0,9,1.0,3
125,0.7753430525905628,0.6853430525905628,1.0,9,1.0,3
126,0.7753341010102962,0.6853341010102962,1.0,9,1.0,3
127,0.7753251689182841,0.6853251689182841,1.0,9,1.0,3
128,0.7753162562133274,0.6853162562133275,1.0,9,1.0,3
129,0.7753073628063878,0.6853073628063878,1.0,9,1.0,3
130,0.7752984886189019,0.685298488618902,1.0,9,1.0,3
131,0.7752896335811483,0.6852896335811484,1.0,9,1.0,3
132,0.7752807976309387,0.6852807976309387,1.0,9,1.0,3
133,0.7752719807125421,0.6852719807125421,1.0,9,1.0,3
134,0.7752631827757458,0.6852631827757458,1.0,9,1.0,3
135,0.7752544037749716,0.6852544037749716,1.0,9,1.0,3
136,0.7752456436686858,0.6852456436686858,1.0,9,1.0,3
137,0.7752369024186864,0.6852369024186864,1.0,9,1.0,3
138,0.7752281799897428,0.6852281799897428,1.0,9,1.0,3
139,0.7752194763490186,0.6852194763490186,1.0,9,1.0,3
140,0.7752107914658625,0.6852107914658625,1.0,9,1.0,3
141,0.7752021253113881,0.6852021253113881,1.0,9,1.0,3
142,0.775193477858163,0.685193477858163,1.0,9,1.0,3
143,0.7751848490801242,0.6851848490801242,1.0,9,1.0,3
144,0.7751762389522255,0.6851762389522256,1.0,9,1.0,3
145,0.7751676474504411,0.6851676474504411,1.0,9,1.0,3
146,0.7751590745514383,0.6851590745514383,1.0,9,1.0,3
147,0.7751505202326012,0.6851505202326013,1.0,9,1.0,3
148,0.7751419844717845,0.6851419844717845,1.0,9,1.0,3
149,0.7751334672473782,0.6851334672473782,1.0,9,1.0,3
150,0.7751249685381398,0.6851249685381399,1.0,9,1.0,3
151,0.7751164883231536,0.6851164883231536,1.0,9,1.0,3
152,0.775108026581756,0.6851080265817561,1.0,9,1.0,3
153,0.7750995832934291,0.6850995832934291,1.0,9,1.0,3
154,0.7750911584378896,0.6850911584378896,1.0,9,1.0,3
155,0.7750827519949188,0.6850827519949189,1.0,9,1.0,3
156,0.7750743639444615,0.6850743639444615,1.0,9,1.0,3
157,0.7750659942665136,0.6850659942665136,1.0,9,1.0,3
158,0.775057642941078,0.6850576429410781,1.0,9,1.0,3
159,0.7750493099481761,0.6850493099481761,1.0,9,1.0,3
160,0.7750409952679317,0.6850409952679317,1.0,9,1.0,3
161,0.7750326988803603,0.6850326988803603,1.0,9,1.0,3
162,0.7750244207655081,0.6850244207655082,1.0,9,1.0,3
163,0.7750161609033243,0.6850161609033243,1.0,9,1.0,3
164,0.7750079192737936,0.6850079192737937,1.0,9,1.0,3
165,0.774999695856789,0.684999695856789,1.0,9,1.0,3
166,0.7749914906321872,0.6849914906321872,1.0,9,1.0,3
167,0.7749833035797301,0.6849833035797301,1.0,9,1.0,3
168,0.7749751346791066,0.6849751346791066,1.0,9,1.0,3
169,0.7749669839099428,0.6849669839099428,1.0,9,1.0,3
170,0.7749588512518198,0.6849588512518199,1.0,9,1.0,3
171,0.7749507366841651,0.6849507366841652,1.0,9,1.0,3
172,0.7749426401863622,0.6849426401863622,1.0,9,1.0,3
173,0.7749345617377065,0.6849345617377065,1.0,9,1.0,3
174,0.7749265013174074,0.6849265013174074,1.0,9,1.0,3
175,0.7749184589045552,0.6849184589045553,1.0,9,1.0,3
176,0.7749104344781772,0.6849104344781772,1.0,9,1.0,3
177,0.7749024280171927,0.6849024280171927,1.0,9,1.0,3
178,0.7748944395003864,0.6848944395003864,1.0,9,1.0,3
179,0.7748864689065303,0.6848864689065304,1.0,9,1.0,3
180,0.7748785162142195,0.6848785162142196,1.0,9,1.0,3
181,0.774870581402014,0.6848705814020141,1.0,9,1.0,3
182,0.7748626644483679,0.684862664448368,1.0,9,1.0,3
183,0.7748547653315904,0.6848547653315904,1.0,9,1.0,3
184,0.7748468840299217,0.6848468840299218,1.0,9,1.0,3
185,0.774839020521534,0.684839020521534,1.0,9,1.0,3
186,0.7748311747844746,0.6848311747844746,1.0,9,1.0,3
187,0.7748233467966829,0.6848233467966829,1.0,9,1.0,3
188,0.7748155365360645,0.6848155365360645,1.0,9,1.0,3
189,0.774807743980355,0.684807743980355,1.0,9,1.0,3
190,0.7747999691072288,0.6847999691072288,1.0,9,1.0,3
191,0.774792211894263,0.684792211894263,1.0,9,1.0,3
192,0.7747844723189062,0.6847844723189063,1.0,9,1.0,3
193,0.7747767503586117,0.6847767503586117,1.0,9,1.0,3
