iteration,loss,ce_loss,accuracy,two_qubit_count,mask_sparsity,active_entanglers
0,2.003658800287349,2.003658800287349,0.4,6,1.0,3
1,1.998774266816439,1.998774266816439,0.425,6,1.0,3
2,1.9933234971311193,1.9933234971311193,0.45,6,1.0,3
3,1.9872438351400317,1.9872438351400317,0.45,6,1.0,3
4,1.9804675587768503,1.9804675587768503,0.45,6,1.0,3
5,1.9729220550524662,1.9729220550524662,0.45,6,1.0,3
6,1.9645301843273562,1.9645301843273562,0.45,6,1.0,3
7,1.9552108701903972,1.9552108701903972,0.45,6,1.0,3
8,1.944879948603934,1.944879948603934,0.45,6,1.0,3
9,1.9334513036238146,1.9334513036238146,0.475,6,1.0,3
10,1.9208383064284553,1.9208383064284553,0.475,6,1.0,3
11,1.9069555593500982,1.9069555593500982,0.475,6,1.0,3
12,1.891720927708078,1.891720927708078,0.475,6,1.0,3
13,1.8750578206634678,1.8750578206634678,0.475,6,1.0,3
14,1.8568976603522374,1.8568976603522374,0.475,6,1.0,3
15,1.8371824593870578,1.8371824593870578,0.475,6,1.0,3
16,1.815867413760564,1.815867413760564,0.475,6,1.0,3
17,1.7929234146031146,1.7929234146031146,0.475,6,1.0,3
18,1.7683393903404103,1.7683393903404103,0.5,6,1.0,3
19,1.7421244102434847,1.7421244102434847,0.5,6,1.0,3
20,1.7143095086494031,1.7143095086494031,0.5,6,1.0,3
21,1.6849492197297398,1.6849492197297398,0.5,6,1.0,3
22,1.654122837362409,1.654122837362409,0.5,6,1.0,3
23,1.6219354232907004,1.6219354232907004,0.5,6,1.0,3
24,1.588518570527629,1.588518570527629,0.5,6,1.0,3
25,1.5540308831209286,1.5540308831209286,0.5,6,1.0,3
26,1.518658058990739,1.518658058990739,0.5,6,1.0,3
27,1.482612370347805,1.482612370347805,0.5,6,1.0,3
28,1.4461312464305325,1.4461312464305325,0.5,6,1.0,3
29,1.4094746048406275,1.4094746048406275,0.5,6,1.0,3
30,1.372920583891401,1.372920583891401,0.5,6,1.0,3
31,1.3367594279535375,1.3367594279535375,0.5,6,1.0,3
32,1.3012854836857561,1.3012854836857561,0.5,6,1.0,3
33,1.266787562434573,1.266787562434573,0.5,6,1.0,3
34,1.2335382639681838,1.2335382639681838,0.5,6,1.0,3
35,1.2017831612563816,1.2017831612563816,0.5,6,1.0,3
