difficulty,seed,active_terms,n2q,test_acc,test_ce,train_ce
easy,0,12,24,0.9,0.14983946299997342,0.009056075142364232
easy,0,11,22,0.9166666666666666,0.22666988825910023,0.0012948854663344708
easy,0,10,20,0.9166666666666666,0.26525398464791733,0.00066301818023404
easy,0,9,18,0.9,0.2765884053478923,0.0005137299084245511
easy,0,8,16,0.9333333333333333,0.22388244377282382,0.0004602710955260519
easy,0,7,14,0.9333333333333333,0.2460736848279652,0.0004133743266645163
easy,0,6,12,0.9333333333333333,0.24585808528974204,0.00040825144518075434
easy,0,5,10,0.95,0.18891850931018442,0.0004050220019340162
easy,0,4,8,0.95,0.21612718837108472,0.00033334509507620133
easy,0,3,6,0.95,0.2854009305322155,0.0002950488345622153
easy,0,2,4,0.9666666666666667,0.11516138205459814,0.0025010136992238787
easy,0,1,2,0.95,0.09365066941159764,0.013043143682722616
easy,0,0,0,0.5333333333333333,0.9368914068749218,0.7956927554887295
easy,1,12,24,0.95,0.10008034800039199,0.01317887975728292
easy,1,11,22,0.95,0.12149632743352251,0.0031346026836879294
easy,1,10,20,0.9333333333333333,0.1673297959437468,0.0007016069513862969
easy,1,9,18,0.95,0.20133544109970744,0.0007183480564617458
easy,1,8,16,0.95,0.19146393993411545,0.0008723423668419568
easy,1,7,14,0.95,0.20769626534488914,0.0007176192292517907
easy,1,6,12,0.95,0.1512707129331164,0.0008307091735962615
easy,1,5,10,0.95,0.21639745369678132,0.000931285245341066
easy,1,4,8,0.9666666666666667,0.05973771607336117,0.0014223352424175776
easy,1,3,6,0.9666666666666667,0.08953371482993114,0.0012952958500227838
easy,1,2,4,0.9166666666666666,0.17030527597352862,0.016113896076878728
easy,1,1,2,0.9166666666666666,0.1588880088296999,0.013048287652140389
easy,1,0,0,0.5333333333333333,0.7780634490883482,0.6285330949478392
easy,2,12,24,0.9333333333333333,0.11376604497451484,0.017917837527226827
easy,2,11,22,0.95,0.11521925947269744,0.006208635670511686
easy,2,10,20,0.9666666666666667,0.21646034117096769,0.002637900917773726
easy,2,9,18,0.9666666666666667,0.16978434519744812,0.0017446499808313597
easy,2,8,16,0.9666666666666667,0.1701294903383641,0.0010973371722054538
easy,2,7,14,0.9666666666666667,0.3297235172220747,0.0010118722922593303
easy,2,6,12,0.9666666666666667,0.20490992279463593,0.0010396148580996641
easy,2,5,10,0.9666666666666667,0.6301218820911647,0.0016694618537133152
easy,2,4,8,0.9666666666666667,0.26733723096660283,0.001916426070932245
easy,2,3,6,0.95,0.2855912338203591,0.0010756996039573057
easy,2,2,4,1.0,0.021938793988728916,0.0022121461783728047
easy,2,1,2,0.9833333333333333,0.0327046929904612,0.007153903045696753
easy,2,0,0,0.5333333333333333,0.7810088823013303,0.625835366369342
easy,3,12,24,0.9666666666666667,0.04998547051411503,0.01793154586494489
easy,3,11,22,1.0,0.024065229948464845,0.004886100666289112
easy,3,10,20,1.0,0.016839372932434746,0.0019937052255439907
easy,3,9,18,1.0,0.01394443545388635,0.00112192773372005
easy,3,8,16,1.0,0.008343983912892806,0.0012191557450701856
easy,3,7,14,1.0,0.009319284983239908,0.0017716340743143568
easy,3,6,12,1.0,0.017455042639954836,0.001691961088742973
easy,3,5,10,0.9833333333333333,0.018685885663542647,0.0012448428246860216
easy,3,4,8,0.9833333333333333,0.03393670912063759,0.0026296980774811263
easy,3,3,6,0.95,0.060238191701449985,0.012089802131688443
easy,3,2,4,0.9833333333333333,0.027714394675417958,0.004060805148109648
easy,3,1,2,0.9666666666666667,0.047613368770822714,0.03431128517841314
easy,3,0,0,0.55,0.7304452607792647,0.8514895802071001
easy,4,12,24,0.95,0.08803168528017508,0.016633257565887804
easy,4,11,22,0.9666666666666667,0.05745235040855697,0.004721031655039581
easy,4,10,20,0.95,0.06932708402228319,0.0024162283186519276
easy,4,9,18,0.9666666666666667,0.05987476989810927,0.0017094985303755135
easy,4,8,16,0.9666666666666667,0.08370755740199115,0.0010641694130704986
easy,4,7,14,0.9666666666666667,0.08957316527761364,0.0007937261382604365
easy,4,6,12,0.9666666666666667,0.09049525971141882,0.0006905999882348691
easy,4,5,10,0.9666666666666667,0.07668081381934884,0.0005956214929074813
easy,4,4,8,0.9666666666666667,0.09125280227242044,0.0005002286127265779
easy,4,3,6,0.95,0.09431480760098805,0.002985249901928205
easy,4,2,4,0.9833333333333333,0.11111048898153388,0.006768516984597822
easy,4,1,2,0.9666666666666667,0.051655999359108744,0.01761485382470264
easy,4,0,0,0.4666666666666667,0.7815381982211552,0.7057721962319097
