difficulty,seed,lam,active_terms,n2q,sparsity,test_acc,test_ce
easy,0,0.0,3,6,0.25,0.95,0.2854009305322155
easy,0,0.005,2,4,0.16666666666666666,0.9666666666666667,0.11516138205459814
easy,0,0.01,1,2,0.08333333333333333,0.95,0.09365066941159764
easy,0,0.02,1,2,0.08333333333333333,0.95,0.09365066941159764
easy,0,0.04,1,2,0.08333333333333333,0.95,0.09365066941159764
easy,0,0.08,1,2,0.08333333333333333,0.95,0.09365066941159764
easy,0,0.15,1,2,0.08333333333333333,0.95,0.09365066941159764
easy,1,0.0,10,20,0.8333333333333334,0.9333333333333333,0.1673297959437468
easy,1,0.005,1,2,0.08333333333333333,0.9166666666666666,0.1588880088296999
easy,1,0.01,1,2,0.08333333333333333,0.9166666666666666,0.1588880088296999
easy,1,0.02,1,2,0.08333333333333333,0.9166666666666666,0.1588880088296999
easy,1,0.04,1,2,0.08333333333333333,0.9166666666666666,0.1588880088296999
easy,1,0.08,1,2,0.08333333333333333,0.9166666666666666,0.1588880088296999
easy,1,0.15,1,2,0.08333333333333333,0.9166666666666666,0.1588880088296999
easy,2,0.0,7,14,0.5833333333333334,0.9666666666666667,0.3297235172220747
easy,2,0.005,1,2,0.08333333333333333,0.9833333333333333,0.0327046929904612
easy,2,0.01,1,2,0.08333333333333333,0.9833333333333333,0.0327046929904612
easy,2,0.02,1,2,0.08333333333333333,0.9833333333333333,0.0327046929904612
easy,2,0.04,1,2,0.08333333333333333,0.9833333333333333,0.0327046929904612
easy,2,0.08,1,2,0.08333333333333333,0.9833333333333333,0.0327046929904612
easy,2,0.15,1,2,0.08333333333333333,0.9833333333333333,0.0327046929904612
easy,3,0.0,9,18,0.75,1.0,0.01394443545388635
easy,3,0.005,2,4,0.16666666666666666,0.9833333333333333,0.027714394675417958
easy,3,0.01,2,4,0.16666666666666666,0.9833333333333333,0.027714394675417958
easy,3,0.02,1,2,0.08333333333333333,0.9666666666666667,0.047613368770822714
easy,3,0.04,1,2,0.08333333333333333,0.9666666666666667,0.047613368770822714
easy,3,0.08,1,2,0.08333333333333333,0.9666666666666667,0.047613368770822714
easy,3,0.15,1,2,0.08333333333333333,0.9666666666666667,0.047613368770822714
easy,4,0.0,4,8,0.3333333333333333,0.9666666666666667,0.09125280227242044
easy,4,0.005,2,4,0.16666666666666666,0.9833333333333333,0.11111048898153388
easy,4,0.01,1,2,0.08333333333333333,0.9666666666666667,0.051655999359108744
easy,4,0.02,1,2,0.08333333333333333,0.9666666666666667,0.051655999359108744
easy,4,0.04,1,2,0.08333333333333333,0.9666666666666667,0.051655999359108744
easy,4,0.08,1,2,0.08333333333333333,0.9666666666666667,0.051655999359108744
easy,4,0.15,1,2,0.08333333333333333,0.9666666666666667,0.051655999359108744
