difficulty,seed,budget,n2q,mode,test_acc
easy,0,11,22,learned,0.9166666666666666
easy,0,11,22,random,0.95
easy,0,11,22,random,0.9166666666666666
easy,0,11,22,random,0.9333333333333333
easy,0,10,20,learned,0.9166666666666666
easy,0,10,20,random,0.9166666666666666
easy,0,10,20,random,0.9166666666666666
easy,0,10,20,random,0.9166666666666666
easy,0,9,18,learned,0.9
easy,0,9,18,random,0.9166666666666666
easy,0,9,18,random,0.9333333333333333
easy,0,9,18,random,0.9333333333333333
easy,0,8,16,learned,0.9333333333333333
easy,0,8,16,random,0.9
easy,0,8,16,random,0.9166666666666666
easy,0,8,16,random,0.9166666666666666
easy,0,7,14,learned,0.9333333333333333
easy,0,7,14,random,0.9
easy,0,7,14,random,0.9333333333333333
easy,0,7,14,random,0.9
easy,0,6,12,learned,0.9333333333333333
easy,0,6,12,random,0.9166666666666666
easy,0,6,12,random,0.9333333333333333
easy,0,6,12,random,0.9
easy,0,5,10,learned,0.95
easy,0,5,10,random,0.9166666666666666
easy,0,5,10,random,0.9166666666666666
easy,0,5,10,random,0.9666666666666667
easy,0,4,8,learned,0.95
easy,0,4,8,random,0.95
easy,0,4,8,random,0.9166666666666666
easy,0,4,8,random,0.95
easy,0,3,6,learned,0.95
easy,0,3,6,random,0.9333333333333333
easy,0,3,6,random,0.9333333333333333
easy,0,3,6,random,0.9333333333333333
easy,0,2,4,learned,0.9666666666666667
easy,0,2,4,random,0.9166666666666666
easy,0,2,4,random,0.8666666666666667
easy,0,2,4,random,0.9333333333333333
easy,0,1,2,learned,0.95
easy,0,1,2,random,0.9166666666666666
easy,0,1,2,random,0.95
easy,0,1,2,random,0.9333333333333333
easy,1,11,22,learned,0.95
easy,1,11,22,random,0.95
easy,1,11,22,random,0.95
easy,1,11,22,random,0.95
easy,1,10,20,learned,0.9333333333333333
easy,1,10,20,random,0.95
easy,1,10,20,random,0.95
easy,1,10,20,random,0.95
easy,1,9,18,learned,0.95
easy,1,9,18,random,0.95
easy,1,9,18,random,0.95
easy,1,9,18,random,0.9166666666666666
easy,1,8,16,learned,0.95
easy,1,8,16,random,0.95
easy,1,8,16,random,0.95
easy,1,8,16,random,0.9333333333333333
easy,1,7,14,learned,0.95
easy,1,7,14,random,0.9666666666666667
easy,1,7,14,random,0.9666666666666667
easy,1,7,14,random,0.9333333333333333
easy,1,6,12,learned,0.95
easy,1,6,12,random,0.95
easy,1,6,12,random,0.95
easy,1,6,12,random,0.9166666666666666
easy,1,5,10,learned,0.95
easy,1,5,10,random,0.9333333333333333
easy,1,5,10,random,0.95
easy,1,5,10,random,0.9833333333333333
easy,1,4,8,learned,0.9666666666666667
easy,1,4,8,random,0.9666666666666667
easy,1,4,8,random,0.9666666666666667
easy,1,4,8,random,0.95
easy,1,3,6,learned,0.9666666666666667
easy,1,3,6,random,0.95
easy,1,3,6,random,0.9
easy,1,3,6,random,0.9666666666666667
easy,1,2,4,learned,0.9166666666666666
easy,1,2,4,random,0.9666666666666667
easy,1,2,4,random,0.9833333333333333
easy,1,2,4,random,0.9833333333333333
easy,1,1,2,learned,0.9166666666666666
easy,1,1,2,random,1.0
easy,1,1,2,random,0.9166666666666666
easy,1,1,2,random,0.95
easy,2,11,22,learned,0.95
easy,2,11,22,random,0.9333333333333333
easy,2,11,22,random,0.9333333333333333
easy,2,11,22,random,0.9333333333333333
easy,2,10,20,learned,0.9666666666666667
easy,2,10,20,random,0.9333333333333333
easy,2,10,20,random,0.9333333333333333
easy,2,10,20,random,0.95
easy,2,9,18,learned,0.9666666666666667
easy,2,9,18,random,0.9333333333333333
easy,2,9,18,random,0.9333333333333333
easy,2,9,18,random,0.9166666666666666
easy,2,8,16,learned,0.9666666666666667
easy,2,8,16,random,0.9333333333333333
easy,2,8,16,random,0.9333333333333333
easy,2,8,16,random,0.9166666666666666
easy,2,7,14,learned,0.9666666666666667
easy,2,7,14,random,0.9166666666666666
easy,2,7,14,random,0.9333333333333333
easy,2,7,14,random,0.9333333333333333
easy,2,6,12,learned,0.9666666666666667
easy,2,6,12,random,0.9166666666666666
easy,2,6,12,random,0.9166666666666666
easy,2,6,12,random,0.9333333333333333
easy,2,5,10,learned,0.9666666666666667
easy,2,5,10,random,0.9333333333333333
easy,2,5,10,random,0.9333333333333333
easy,2,5,10,random,0.9333333333333333
