difficulty,seed,active_terms,n2q,test_acc,test_ce,train_ce
hard,0,12,24,0.8166666666666667,0.4303464692617966,0.2300885109770482
hard,0,11,22,0.8333333333333334,0.3885452098561926,0.21132448355403258
hard,0,10,20,0.8333333333333334,0.356544887859485,0.18092545555443604
hard,0,9,18,0.8333333333333334,0.347321570546165,0.16419122697520655
hard,0,8,16,0.9,0.24493470143066265,0.19343220214856796
hard,0,7,14,0.9,0.23597393480349027,0.16266692437703076
hard,0,6,12,0.85,0.2753368805745947,0.1513513724864174
hard,0,5,10,0.8833333333333333,0.26073356385666197,0.19404505550626797
hard,0,4,8,0.85,0.3052818660824861,0.18517737837865975
hard,0,3,6,0.9333333333333333,0.15779948065379734,0.11272049711731127
hard,0,2,4,0.5666666666666667,0.7015113545871461,0.651406902172114
hard,0,1,2,0.6,0.712598191629562,0.5843197480032255
hard,0,0,0,0.48333333333333334,0.7667940007277861,0.7025352012741832
hard,1,12,24,0.9,0.17793714978921618,0.088664928049068
hard,1,11,22,0.9166666666666666,0.1742123442199423,0.05402656164247343
hard,1,10,20,0.9166666666666666,0.15913121975861372,0.03713885108523899
hard,1,9,18,0.9166666666666666,0.16547382335180708,0.030795652022525655
hard,1,8,16,0.9166666666666666,0.16555054827877763,0.024868510978525857
hard,1,7,14,0.9166666666666666,0.19092620135739488,0.02082083442919322
hard,1,6,12,0.9166666666666666,0.1955389155688018,0.01940303363747688
hard,1,5,10,0.9166666666666666,0.18658119244076304,0.01829391224079826
hard,1,4,8,0.9333333333333333,0.14912744145417145,0.018458470912532388
hard,1,3,6,0.8833333333333333,0.2313462975597372,0.24871388509949077
hard,1,2,4,0.8833333333333333,0.24024055841269457,0.2301269549715245
hard,1,1,2,0.9666666666666667,0.19225827185377803,0.2113032629458359
hard,1,0,0,0.65,1.6438290659636057,1.7460324208690552
hard,2,12,24,0.9666666666666667,0.1520252965058738,0.09025230368726818
hard,2,11,22,0.9333333333333333,0.16398730314379673,0.05802673382315604
hard,2,10,20,0.9333333333333333,0.20027688974629623,0.04093107377657199
hard,2,9,18,0.9333333333333333,0.25291613549268516,0.036075264249691374
hard,2,8,16,0.9166666666666666,0.2668638361332106,0.03197106265149112
hard,2,7,14,0.9333333333333333,0.42635602993213534,0.03160668982921607
hard,2,6,12,0.9333333333333333,0.20000477560032662,0.029450193434609796
hard,2,5,10,0.9333333333333333,0.17918930308364858,0.07446413502877638
hard,2,4,8,0.9333333333333333,0.14136857258749444,0.06913433377035787
hard,2,3,6,0.9666666666666667,0.11408005028332399,0.06981790355781474
hard,2,2,4,0.9666666666666667,0.10556219892489382,0.07111606173797695
hard,2,1,2,0.95,0.19866988423821072,0.05591612876802209
hard,2,0,0,0.5,0.7463463938494955,0.6878895480345881
hard,3,12,24,0.9,0.1874408319925113,0.08751854789248256
hard,3,11,22,0.95,0.1594501906900665,0.06454959315785766
hard,3,10,20,0.9333333333333333,0.15423905735677484,0.054977659706589126
hard,3,9,18,0.95,0.15428964441377374,0.04729100018306105
hard,3,8,16,0.95,0.1296670264651212,0.04179461091000275
hard,3,7,14,0.95,0.13759964413332504,0.03521010995277749
hard,3,6,12,0.95,0.1432227435638506,0.03234662319880123
hard,3,5,10,0.95,0.128521669469606,0.028118388375855664
hard,3,4,8,0.95,0.1510503767922381,0.03755711024019876
hard,3,3,6,0.9666666666666667,0.0753783212914785,0.037799316091606354
hard,3,2,4,0.9666666666666667,0.0691619758515681,0.027537053100027006
hard,3,1,2,0.8666666666666667,0.30254130320942174,0.17442752933911704
hard,3,0,0,0.4,0.7262166411668898,0.693412029581902
hard,4,12,24,0.7833333333333333,0.3781297961679388,0.16083931327018783
hard,4,11,22,0.85,0.3472578445611643,0.12032483061142091
hard,4,10,20,0.85,0.34519264378290754,0.09953139662470216
hard,4,9,18,0.8666666666666667,0.3493854307906165,0.0936789828953527
hard,4,8,16,0.8666666666666667,0.36469126766918764,0.08709852249288833
hard,4,7,14,0.8833333333333333,0.2580604764891704,0.11316498001400098
hard,4,6,12,0.8833333333333333,0.28115790474677926,0.09999914472809461
hard,4,5,10,0.8833333333333333,0.3857629649745885,0.12304817597555813
hard,4,4,8,0.85,0.3793072685610076,0.09911487063287411
hard,4,3,6,0.8833333333333333,0.3598887380543884,0.09460020211928034
hard,4,2,4,0.85,0.38516299486381766,0.12950079786804367
hard,4,1,2,0.85,0.2759250536314366,0.15461364868596822
hard,4,0,0,0.43333333333333335,1.3669070245587032,0.8765900741857143
