difficulty,seed,lam,active_terms,n2q,sparsity,test_acc,test_ce
hard,0,0.0,3,6,0.25,0.9333333333333333,0.15779948065379734
hard,0,0.005,3,6,0.25,0.9333333333333333,0.15779948065379734
hard,0,0.01,3,6,0.25,0.9333333333333333,0.15779948065379734
hard,0,0.02,3,6,0.25,0.9333333333333333,0.15779948065379734
hard,0,0.04,3,6,0.25,0.9333333333333333,0.15779948065379734
hard,0,0.08,3,6,0.25,0.9333333333333333,0.15779948065379734
hard,0,0.15,0,0,0.0,0.48333333333333334,0.7667940007277861
hard,1,0.0,5,10,0.4166666666666667,0.9166666666666666,0.18658119244076304
hard,1,0.005,4,8,0.3333333333333333,0.9333333333333333,0.14912744145417145
hard,1,0.01,4,8,0.3333333333333333,0.9333333333333333,0.14912744145417145
hard,1,0.02,4,8,0.3333333333333333,0.9333333333333333,0.14912744145417145
hard,1,0.04,1,2,0.08333333333333333,0.9666666666666667,0.19225827185377803
hard,1,0.08,1,2,0.08333333333333333,0.9666666666666667,0.19225827185377803
hard,1,0.15,1,2,0.08333333333333333,0.9666666666666667,0.19225827185377803
hard,2,0.0,6,12,0.5,0.9333333333333333,0.20000477560032662
hard,2,0.005,1,2,0.08333333333333333,0.95,0.19866988423821072
hard,2,0.01,1,2,0.08333333333333333,0.95,0.19866988423821072
hard,2,0.02,1,2,0.08333333333333333,0.95,0.19866988423821072
hard,2,0.04,1,2,0.08333333333333333,0.95,0.19866988423821072
hard,2,0.08,1,2,0.08333333333333333,0.95,0.19866988423821072
hard,2,0.15,1,2,0.08333333333333333,0.95,0.19866988423821072
hard,3,0.0,2,4,0.16666666666666666,0.9666666666666667,0.0691619758515681
hard,3,0.005,2,4,0.16666666666666666,0.9666666666666667,0.0691619758515681
hard,3,0.01,2,4,0.16666666666666666,0.9666666666666667,0.0691619758515681
hard,3,0.02,2,4,0.16666666666666666,0.9666666666666667,0.0691619758515681
hard,3,0.04,2,4,0.16666666666666666,0.9666666666666667,0.0691619758515681
hard,3,0.08,1,2,0.08333333333333333,0.8666666666666667,0.30254130320942174
hard,3,0.15,1,2,0.08333333333333333,0.8666666666666667,0.30254130320942174
hard,4,0.0,8,16,0.6666666666666666,0.8666666666666667,0.36469126766918764
hard,4,0.005,3,6,0.25,0.8833333333333333,0.3598887380543884
hard,4,0.01,3,6,0.25,0.8833333333333333,0.3598887380543884
hard,4,0.02,1,2,0.08333333333333333,0.85,0.2759250536314366
hard,4,0.04,1,2,0.08333333333333333,0.85,0.2759250536314366
hard,4,0.08,1,2,0.08333333333333333,0.85,0.2759250536314366
hard,4,0.15,1,2,0.08333333333333333,0.85,0.2759250536314366
