difficulty,seed,active_terms,n2q,test_acc,test_ce,train_ce
medium,0,12,24,0.9666666666666667,0.08511206228734738,0.0568806255641328
medium,0,11,22,0.9666666666666667,0.12298585444215772,0.02928952347554128
medium,0,10,20,0.9666666666666667,0.1495182529738769,0.021401147361980705
medium,0,9,18,0.9666666666666667,0.13025133304517997,0.018230356700052696
medium,0,8,16,0.9666666666666667,0.14486428941630783,0.01568218774953276
medium,0,7,14,0.9666666666666667,0.1650729575213962,0.013206638018616155
medium,0,6,12,0.9666666666666667,0.1723732246029571,0.011558172430951294
medium,0,5,10,0.9666666666666667,0.23303320068296268,0.009377461752316308
medium,0,4,8,0.9666666666666667,0.2611698198196421,0.00811650165347638
medium,0,3,6,0.9666666666666667,0.22773748081114853,0.008312608030324934
medium,0,2,4,0.9666666666666667,0.24364879119625163,0.007180884845047023
medium,0,1,2,0.9666666666666667,0.18090895255404035,0.014224564518690022
medium,0,0,0,0.5666666666666667,0.7800628833133428,0.6027174275280299
medium,1,12,24,0.9666666666666667,0.06273380918505497,0.05611248548559889
medium,1,11,22,0.9666666666666667,0.05235496829252905,0.028274911345741265
medium,1,10,20,0.9666666666666667,0.05224927258364989,0.01884844977541079
medium,1,9,18,0.9666666666666667,0.05525611095363138,0.014789044044003778
medium,1,8,16,0.9666666666666667,0.036457073480733286,0.012754142308973059
medium,1,7,14,0.9833333333333333,0.023648726355874294,0.009607873178529396
medium,1,6,12,1.0,0.018259936206602663,0.008652836433610672
medium,1,5,10,0.9833333333333333,0.03914809841910807,0.008587065323706443
medium,1,4,8,1.0,0.017483592186608603,0.010951176606064152
medium,1,3,6,0.9666666666666667,0.03744296313469673,0.00882451826588863
medium,1,2,4,1.0,0.009597563968187029,0.012070668275926861
medium,1,1,2,1.0,0.012772411814448192,0.012099733750758733
medium,1,0,0,0.7166666666666667,0.7132648327894081,0.5343341396025488
medium,2,12,24,0.95,0.18262610849848143,0.03805167943392986
medium,2,11,22,0.95,0.23395219430496195,0.020428383202172384
medium,2,10,20,0.95,0.30437375716686327,0.013013774844172881
medium,2,9,18,0.95,0.3880063465859657,0.009289443757573594
medium,2,8,16,0.95,0.4203249266587118,0.00788177603726703
medium,2,7,14,0.95,0.4131459184860013,0.006492392583773989
medium,2,6,12,0.95,0.44166755026585525,0.005270830768965644
medium,2,5,10,0.95,0.2866107643648251,0.005195577448455403
medium,2,4,8,0.95,0.29185569368520403,0.004525470831649829
medium,2,3,6,0.95,0.3067115295320487,0.006609738591306455
medium,2,2,4,0.95,0.35802085600489686,0.00341763741269251
medium,2,1,2,0.95,0.30355220856889714,0.003777424245551148
medium,2,0,0,0.75,0.5576852050913861,0.555284121744255
medium,3,12,24,0.9166666666666666,0.16672472937387817,0.045398127830283116
medium,3,11,22,0.9,0.14439090221107687,0.01990771775415419
medium,3,10,20,0.9333333333333333,0.16598157726242824,0.012294030661493302
medium,3,9,18,0.9333333333333333,0.17881866523820109,0.013180020030735994
medium,3,8,16,0.9166666666666666,0.20545356972288584,0.007323531577525715
medium,3,7,14,0.9166666666666666,0.18984544445213403,0.006539654497518964
medium,3,6,12,0.9166666666666666,0.22756397912412402,0.005974945117660443
medium,3,5,10,0.9166666666666666,0.23897385213558464,0.006100035397454964
medium,3,4,8,0.9333333333333333,0.18582728873999427,0.005887372750686088
medium,3,3,6,0.9333333333333333,0.1788607577095661,0.005916826226865955
medium,3,2,4,0.9166666666666666,0.2683338018688613,0.009285581248873987
medium,3,1,2,0.9833333333333333,0.06487525489568051,0.010742913476909567
medium,3,0,0,0.65,0.663228800415336,0.5452949351365687
medium,4,12,24,0.9333333333333333,0.11820052262437919,0.0431228888673261
medium,4,11,22,0.9333333333333333,0.14491314181694925,0.016584438655378512
medium,4,10,20,0.95,0.17059973392885083,0.009612770139846684
medium,4,9,18,0.95,0.2054526209273677,0.0056147537708221874
medium,4,8,16,0.95,0.20001226314403422,0.004392721832910707
medium,4,7,14,0.95,0.21426381566819883,0.0034043814921482
medium,4,6,12,0.9333333333333333,0.2117962996926421,0.0030627292533972703
medium,4,5,10,0.95,0.2989848701433931,0.002745739219413058
medium,4,4,8,0.95,0.3522426502541105,0.0024110589881980106
medium,4,3,6,0.9333333333333333,0.34545909912321493,0.0029629529274578306
medium,4,2,4,0.9666666666666667,0.3816971540450266,0.0030069246267840698
medium,4,1,2,0.9666666666666667,0.43207456884205736,0.0029131215583533335
medium,4,0,0,0.5333333333333333,1.144759402353416,0.8728791188588358
