difficulty,seed,lam,active_terms,n2q,sparsity,test_acc,test_ce
medium,0,0.0,2,4,0.16666666666666666,0.9666666666666667,0.24364879119625163
medium,0,0.005,1,2,0.08333333333333333,0.9666666666666667,0.18090895255404035
medium,0,0.01,1,2,0.08333333333333333,0.9666666666666667,0.18090895255404035
medium,0,0.02,1,2,0.08333333333333333,0.9666666666666667,0.18090895255404035
medium,0,0.04,1,2,0.08333333333333333,0.9666666666666667,0.18090895255404035
medium,0,0.08,1,2,0.08333333333333333,0.9666666666666667,0.18090895255404035
medium,0,0.15,1,2,0.08333333333333333,0.9666666666666667,0.18090895255404035
medium,1,0.0,5,10,0.4166666666666667,0.9833333333333333,0.03914809841910807
medium,1,0.005,1,2,0.08333333333333333,1.0,0.012772411814448192
medium,1,0.01,1,2,0.08333333333333333,1.0,0.012772411814448192
medium,1,0.02,1,2,0.08333333333333333,1.0,0.012772411814448192
medium,1,0.04,1,2,0.08333333333333333,1.0,0.012772411814448192
medium,1,0.08,1,2,0.08333333333333333,1.0,0.012772411814448192
medium,1,0.15,1,2,0.08333333333333333,1.0,0.012772411814448192
medium,2,0.0,2,4,0.16666666666666666,0.95,0.35802085600489686
medium,2,0.005,1,2,0.08333333333333333,0.95,0.30355220856889714
medium,2,0.01,1,2,0.08333333333333333,0.95,0.30355220856889714
medium,2,0.02,1,2,0.08333333333333333,0.95,0.30355220856889714
medium,2,0.04,1,2,0.08333333333333333,0.95,0.30355220856889714
medium,2,0.08,1,2,0.08333333333333333,0.95,0.30355220856889714
medium,2,0.15,1,2,0.08333333333333333,0.95,0.30355220856889714
medium,3,0.0,4,8,0.3333333333333333,0.9333333333333333,0.18582728873999427
medium,3,0.005,1,2,0.08333333333333333,0.9833333333333333,0.06487525489568051
medium,3,0.01,1,2,0.08333333333333333,0.9833333333333333,0.06487525489568051
medium,3,0.02,1,2,0.08333333333333333,0.9833333333333333,0.06487525489568051
medium,3,0.04,1,2,0.08333333333333333,0.9833333333333333,0.06487525489568051
medium,3,0.08,1,2,0.08333333333333333,0.9833333333333333,0.06487525489568051
medium,3,0.15,1,2,0.08333333333333333,0.9833333333333333,0.06487525489568051
medium,4,0.0,4,8,0.3333333333333333,0.95,0.3522426502541105
medium,4,0.005,1,2,0.08333333333333333,0.9666666666666667,0.43207456884205736
medium,4,0.01,1,2,0.08333333333333333,0.9666666666666667,0.43207456884205736
medium,4,0.02,1,2,0.08333333333333333,0.9666666666666667,0.43207456884205736
medium,4,0.04,1,2,0.08333333333333333,0.9666666666666667,0.43207456884205736
medium,4,0.08,1,2,0.08333333333333333,0.9666666666666667,0.43207456884205736
medium,4,0.15,1,2,0.08333333333333333,0.9666666666666667,0.43207456884205736
