difficulty,seed,active_terms,n2q,test_acc,test_ce,train_ce
easy,0,12,24,0.9166666666666666,0.27339052152872567,0.0005340821363976499
easy,0,11,22,0.9166666666666666,0.24336256820358348,0.00011267267657394519
easy,0,10,20,0.9,0.3989397913450585,0.00012063223900568367
easy,0,9,18,0.9166666666666666,0.4304931900011179,4.143750650071517e-05
easy,0,8,16,0.9166666666666666,0.3734866582495642,6.040426618627419e-05
easy,0,7,14,0.9,0.6560099798650747,2.552849008932055e-05
easy,0,6,12,0.9,0.7492263061486174,2.579993833001729e-05
easy,0,5,10,0.9333333333333333,0.5698206000935873,5.8981232050341605e-05
easy,0,4,8,0.9166666666666666,0.4671397297985631,0.00031708173876051
easy,0,3,6,0.9,0.516057034979419,8.806465934550105e-05
easy,0,2,4,0.95,0.30097133318342356,0.0010815508097869874
easy,0,1,2,0.9166666666666666,0.1168432623193803,0.029502910857795092
easy,0,0,0,0.5166666666666667,0.8307765477577268,0.585519818063003
easy,1,12,24,1.0,0.03557692360029683,0.0043937417151871305
easy,1,11,22,1.0,0.014524869120944665,0.0010219032184824333
easy,1,10,20,1.0,0.019900895176197565,0.00026524323150465385
easy,1,9,18,0.9833333333333333,0.031243949297691465,0.00014006620107907139
easy,1,8,16,1.0,0.011035098426711883,8.983495941748421e-05
easy,1,7,14,1.0,0.0037054049207925596,2.991643395340046e-05
easy,1,6,12,1.0,0.012886161996672906,0.00010568553246986668
easy,1,5,10,1.0,0.009317635202351206,3.6390520919188816e-05
easy,1,4,8,1.0,0.009695597450806259,9.737182987161656e-06
easy,1,3,6,0.9666666666666667,0.051760875214504454,1.5316917216858746e-05
easy,1,2,4,0.9833333333333333,0.03396816822379458,1.491884527272299e-05
easy,1,1,2,0.9833333333333333,0.01751557716359601,1.905055740178451e-05
easy,1,0,0,0.6166666666666667,0.734554569520459,0.6726953744670231
easy,2,12,24,0.9166666666666666,0.15861085520293444,0.005313237101113268
easy,2,11,22,0.9166666666666666,0.21217309031665518,0.0015248517410200715
easy,2,10,20,0.9166666666666666,0.1938056685924277,0.0009008947511178329
easy,2,9,18,0.9166666666666666,0.17546022189421226,0.0006896188293958517
easy,2,8,16,0.9166666666666666,0.41177947140553367,0.0006615435937128403
easy,2,7,14,0.9166666666666666,0.27749263047824957,0.0008810936741785241
easy,2,6,12,0.9166666666666666,0.22880012313202722,0.0006735550263561159
easy,2,5,10,0.9333333333333333,0.22720657266494348,0.0027401892865685216
easy,2,4,8,0.9333333333333333,0.2079627837785423,0.0012758257415670334
easy,2,3,6,0.9666666666666667,0.0507816327088262,0.008277944913472338
easy,2,2,4,0.95,0.35598258438820085,0.0065394160481645185
easy,2,1,2,0.95,0.16919298575418426,0.003349955508208965
easy,2,0,0,0.5833333333333334,0.919272153553819,0.5919792868233755
