difficulty,seed,active_terms,n2q,test_acc,test_ce,train_ce
hard,0,12,24,0.8833333333333333,0.297233853737512,0.038354475487110545
hard,0,11,22,0.8833333333333333,0.22028094265382692,0.008777366208790311
hard,0,10,20,0.8666666666666667,0.25083450319646067,0.005238045734796094
hard,0,9,18,0.85,0.2456565109204093,0.004661430280816363
hard,0,8,16,0.8666666666666667,0.23541342948044175,0.003926302438107117
hard,0,7,14,0.9,0.24131762157956682,0.004487253614226523
hard,0,6,12,0.8833333333333333,0.34073725268404387,0.005557823681797651
hard,0,5,10,0.9,0.2688091884406614,0.0075169067744488
hard,0,4,8,0.9166666666666666,0.24237906861720535,0.005137841484057112
hard,0,3,6,0.8666666666666667,0.2314241545189389,0.007950371252341855
hard,0,2,4,0.9166666666666666,0.267026862862437,0.03329714392414143
hard,0,1,2,0.8333333333333334,0.4038805982460711,0.29861742441709305
hard,0,0,0,0.45,0.7134779907098947,0.6791969071079494
hard,1,12,24,0.8333333333333334,0.4107567536501304,0.07588235735248201
hard,1,11,22,0.8666666666666667,0.43116865349405087,0.030580051055046006
hard,1,10,20,0.85,0.4502548534591206,0.01964278704888306
hard,1,9,18,0.8333333333333334,0.5199475501607935,0.014738948818991978
hard,1,8,16,0.85,0.4369086975982165,0.010387316141928758
hard,1,7,14,0.9,0.21557417022091607,0.01035402255382912
hard,1,6,12,0.9,0.23759723726762852,0.006852128064588882
hard,1,5,10,0.95,0.23572966582785332,0.007567320177076805
hard,1,4,8,0.9333333333333333,0.228077544861877,0.007311754855073608
hard,1,3,6,0.9166666666666666,0.2736091337731332,0.009402545725757725
hard,1,2,4,0.9333333333333333,0.11082439257430794,0.010578059090938431
hard,1,1,2,0.95,0.1122623440834551,0.055811258946424
hard,1,0,0,0.6333333333333333,0.7914486921036179,0.6745550380044452
hard,2,12,24,0.9,0.280445075815743,0.11819596006481753
hard,2,11,22,0.8333333333333334,0.7183855213391366,0.06762179771814782
hard,2,10,20,0.8333333333333334,0.3483779244471727,0.03627565079223198
hard,2,9,18,0.8833333333333333,0.5322885431512449,0.01892696544375676
hard,2,8,16,0.8666666666666667,0.30539332893785975,0.01546899761463049
hard,2,7,14,0.9,0.3572437222720481,0.01374176103452521
hard,2,6,12,0.75,0.8216792058899626,0.2025872450850758
hard,2,5,10,0.8,0.6192406426814206,0.22695118375565573
hard,2,4,8,0.7833333333333333,0.73040626730114,0.21283710412516277
hard,2,3,6,0.8666666666666667,0.4796025707158691,0.12982291425309725
hard,2,2,4,0.6,0.8940808817591649,0.37856244682331497
hard,2,1,2,0.6666666666666666,0.7187853268701204,0.38385226573188735
hard,2,0,0,0.45,0.7171920075216985,0.673822639018097
