difficulty,seed,lam,active_terms,n2q,sparsity,test_acc,test_ce
hard,0,0.0,8,16,0.6666666666666666,0.8666666666666667,0.23541342948044175
hard,0,0.005,3,6,0.25,0.8666666666666667,0.2314241545189389
hard,0,0.01,3,6,0.25,0.8666666666666667,0.2314241545189389
hard,0,0.02,2,4,0.16666666666666666,0.9166666666666666,0.267026862862437
hard,0,0.04,2,4,0.16666666666666666,0.9166666666666666,0.267026862862437
hard,0,0.08,2,4,0.16666666666666666,0.9166666666666666,0.267026862862437
hard,0,0.15,1,2,0.08333333333333333,0.8333333333333334,0.4038805982460711
hard,1,0.0,6,12,0.5,0.9,0.23759723726762852
hard,1,0.005,2,4,0.16666666666666666,0.9333333333333333,0.11082439257430794
hard,1,0.01,2,4,0.16666666666666666,0.9333333333333333,0.11082439257430794
hard,1,0.02,2,4,0.16666666666666666,0.9333333333333333,0.11082439257430794
hard,1,0.04,1,2,0.08333333333333333,0.95,0.1122623440834551
hard,1,0.08,1,2,0.08333333333333333,0.95,0.1122623440834551
hard,1,0.15,1,2,0.08333333333333333,0.95,0.1122623440834551
hard,2,0.0,7,14,0.5833333333333334,0.9,0.3572437222720481
hard,2,0.005,7,14,0.5833333333333334,0.9,0.3572437222720481
hard,2,0.01,7,14,0.5833333333333334,0.9,0.3572437222720481
hard,2,0.02,3,6,0.25,0.8666666666666667,0.4796025707158691
hard,2,0.04,3,6,0.25,0.8666666666666667,0.4796025707158691
hard,2,0.08,1,2,0.08333333333333333,0.6666666666666666,0.7187853268701204
hard,2,0.15,0,0,0.0,0.45,0.7171920075216985
