difficulty,seed,budget,n2q,mode,test_acc
hard,0,11,22,learned,0.8833333333333333
hard,0,11,22,random,0.8333333333333334
hard,0,11,22,random,0.8
hard,0,10,20,learned,0.8666666666666667
hard,0,10,20,random,0.7166666666666667
hard,0,10,20,random,0.9166666666666666
hard,0,9,18,learned,0.85
hard,0,9,18,random,0.85
hard,0,9,18,random,0.85
hard,0,8,16,learned,0.8666666666666667
hard,0,8,16,random,0.8166666666666667
hard,0,8,16,random,0.8
hard,0,7,14,learned,0.9
hard,0,7,14,random,0.7833333333333333
hard,0,7,14,random,0.8333333333333334
hard,0,6,12,learned,0.8833333333333333
hard,0,6,12,random,0.8666666666666667
hard,0,6,12,random,0.75
hard,0,5,10,learned,0.9
hard,0,5,10,random,0.9166666666666666
hard,0,5,10,random,0.8
hard,0,4,8,learned,0.9166666666666666
hard,0,4,8,random,0.9
hard,0,4,8,random,0.7833333333333333
hard,0,3,6,learned,0.8666666666666667
hard,0,3,6,random,0.7
hard,0,3,6,random,0.8
hard,0,2,4,learned,0.9166666666666666
hard,0,2,4,random,0.8666666666666667
hard,0,2,4,random,0.6333333333333333
hard,0,1,2,learned,0.8333333333333334
hard,0,1,2,random,0.7333333333333333
hard,0,1,2,random,0.7666666666666667
hard,1,11,22,learned,0.8666666666666667
hard,1,11,22,random,0.85
hard,1,11,22,random,0.8
hard,1,10,20,learned,0.85
hard,1,10,20,random,0.7833333333333333
hard,1,10,20,random,0.85
hard,1,9,18,learned,0.8333333333333334
hard,1,9,18,random,0.8666666666666667
hard,1,9,18,random,0.8666666666666667
hard,1,8,16,learned,0.85
hard,1,8,16,random,0.8666666666666667
hard,1,8,16,random,0.8166666666666667
hard,1,7,14,learned,0.9
hard,1,7,14,random,0.9666666666666667
hard,1,7,14,random,0.9166666666666666
hard,1,6,12,learned,0.9
hard,1,6,12,random,0.8333333333333334
hard,1,6,12,random,0.9
hard,1,5,10,learned,0.95
hard,1,5,10,random,0.8333333333333334
hard,1,5,10,random,0.9333333333333333
hard,1,4,8,learned,0.9333333333333333
hard,1,4,8,random,0.7333333333333333
hard,1,4,8,random,0.9
hard,1,3,6,learned,0.9166666666666666
hard,1,3,6,random,0.7
hard,1,3,6,random,0.7333333333333333
hard,1,2,4,learned,0.9333333333333333
hard,1,2,4,random,0.7333333333333333
hard,1,2,4,random,0.8166666666666667
hard,1,1,2,learned,0.95
hard,1,1,2,random,0.6166666666666667
hard,1,1,2,random,0.95
hard,2,11,22,learned,0.8333333333333334
hard,2,11,22,random,0.7
hard,2,11,22,random,0.85
hard,2,10,20,learned,0.8333333333333334
hard,2,10,20,random,0.8166666666666667
hard,2,10,20,random,0.85
hard,2,9,18,learned,0.8833333333333333
hard,2,9,18,random,0.7333333333333333
hard,2,9,18,random,0.85
hard,2,8,16,learned,0.8666666666666667
hard,2,8,16,random,0.8333333333333334
hard,2,8,16,random,0.9333333333333333
hard,2,7,14,learned,0.9
hard,2,7,14,random,0.9166666666666666
hard,2,7,14,random,0.7333333333333333
hard,2,6,12,learned,0.75
hard,2,6,12,random,0.8166666666666667
hard,2,6,12,random,0.7833333333333333
hard,2,5,10,learned,0.8
hard,2,5,10,random,0.85
hard,2,5,10,random,0.65
hard,2,4,8,learned,0.7833333333333333
hard,2,4,8,random,0.8666666666666667
hard,2,4,8,random,0.7333333333333333
hard,2,3,6,learned,0.8666666666666667
hard,2,3,6,random,0.8333333333333334
hard,2,3,6,random,0.9
hard,2,2,4,learned,0.6
hard,2,2,4,random,0.85
hard,2,2,4,random,0.6
hard,2,1,2,learned,0.6666666666666666
hard,2,1,2,random,0.8833333333333333
hard,2,1,2,random,0.9166666666666666
