difficulty,seed,active_terms,n2q,test_acc,test_ce,train_ce
medium,0,12,24,0.9333333333333333,0.09399310880424823,0.0324120843404271
medium,0,11,22,0.9333333333333333,0.088005552378403,0.015432859471135986
medium,0,10,20,0.95,0.1372657255735866,0.015694878308174943
medium,0,9,18,0.9333333333333333,0.1754274165054043,0.010138727939330763
medium,0,8,16,0.9666666666666667,0.20858689319023047,0.008839871572113455
medium,0,7,14,0.9166666666666666,0.14183344471166578,0.013611622220578474
medium,0,6,12,0.9666666666666667,0.2952905470948459,0.010845608092853953
medium,0,5,10,0.95,0.2990890426262155,0.014872882410926994
medium,0,4,8,0.9666666666666667,0.2143979707257519,0.014824763889491194
medium,0,3,6,0.9666666666666667,0.2543448734322534,0.008609501222660113
medium,0,2,4,0.9666666666666667,0.14281857159849412,0.015427767380595673
medium,0,1,2,0.9833333333333333,0.09214845402216656,0.010855243396723765
medium,0,0,0,0.7333333333333333,0.6466108400511001,0.4701172440396711
medium,1,12,24,0.9333333333333333,0.09313724479955064,0.03988910834085535
medium,1,11,22,0.95,0.07168810895484815,0.019457716313987426
medium,1,10,20,0.9166666666666666,0.1105380549599047,0.014005685608255429
medium,1,9,18,0.95,0.122674172666821,0.011192643880711162
medium,1,8,16,0.95,0.10913415748832136,0.008630926104708406
medium,1,7,14,0.95,0.09434466614649188,0.007498471928677186
medium,1,6,12,0.9666666666666667,0.11117533935990631,0.005743601291614559
medium,1,5,10,0.9666666666666667,0.11037819961154532,0.005212678084490073
medium,1,4,8,0.9666666666666667,0.062464639924229674,0.007008002940665972
medium,1,3,6,1.0,0.014866833984708032,0.008647981713217517
medium,1,2,4,1.0,0.01040864405839678,0.011406142428389693
medium,1,1,2,1.0,0.0015728778021616738,0.011110017357300385
medium,1,0,0,0.7333333333333333,0.6496987774714353,0.4961454059058939
medium,2,12,24,0.8666666666666667,0.3876131949396391,0.03256733788701875
medium,2,11,22,0.8833333333333333,0.5180886175270342,0.017901065313391334
medium,2,10,20,0.8833333333333333,0.48968249574027173,0.012044336874652678
medium,2,9,18,0.8833333333333333,0.4467980685300072,0.010481754560132055
medium,2,8,16,0.9,0.4803612459192068,0.0077959990725474946
medium,2,7,14,0.9,0.46427327313800887,0.006936479302207128
medium,2,6,12,0.8833333333333333,0.5046887502758796,0.006610477159499098
medium,2,5,10,0.9333333333333333,0.16553560956397062,0.008219426565229164
medium,2,4,8,0.95,0.16441276190284673,0.007597081347909852
medium,2,3,6,0.9166666666666666,0.14515191510190947,0.015560823358170111
medium,2,2,4,0.9333333333333333,0.19881418806576054,0.046514273598058355
medium,2,1,2,0.9333333333333333,0.15779638077956393,0.03780724027821103
medium,2,0,0,0.6833333333333333,0.6234316835774649,0.5187051511995145
