difficulty,seed,lam,active_terms,n2q,sparsity,test_acc,test_ce
medium,0,0.0,3,6,0.25,0.9666666666666667,0.2543448734322534
medium,0,0.005,1,2,0.08333333333333333,0.9833333333333333,0.09214845402216656
medium,0,0.01,1,2,0.08333333333333333,0.9833333333333333,0.09214845402216656
medium,0,0.02,1,2,0.08333333333333333,0.9833333333333333,0.09214845402216656
medium,0,0.04,1,2,0.08333333333333333,0.9833333333333333,0.09214845402216656
medium,0,0.08,1,2,0.08333333333333333,0.9833333333333333,0.09214845402216656
medium,0,0.15,1,2,0.08333333333333333,0.9833333333333333,0.09214845402216656
medium,1,0.0,5,10,0.4166666666666667,0.9666666666666667,0.11037819961154532
medium,1,0.005,1,2,0.08333333333333333,1.0,0.0015728778021616738
medium,1,0.01,1,2,0.08333333333333333,1.0,0.0015728778021616738
medium,1,0.02,1,2,0.08333333333333333,1.0,0.0015728778021616738
medium,1,0.04,1,2,0.08333333333333333,1.0,0.0015728778021616738
medium,1,0.08,1,2,0.08333333333333333,1.0,0.0015728778021616738
medium,1,0.15,1,2,0.08333333333333333,1.0,0.0015728778021616738
medium,2,0.0,6,12,0.5,0.8833333333333333,0.5046887502758796
medium,2,0.005,3,6,0.25,0.9166666666666666,0.14515191510190947
medium,2,0.01,1,2,0.08333333333333333,0.9333333333333333,0.15779638077956393
medium,2,0.02,1,2,0.08333333333333333,0.9333333333333333,0.15779638077956393
medium,2,0.04,1,2,0.08333333333333333,0.9333333333333333,0.15779638077956393
medium,2,0.08,1,2,0.08333333333333333,0.9333333333333333,0.15779638077956393
medium,2,0.15,1,2,0.08333333333333333,0.9333333333333333,0.15779638077956393
