difficulty,seed,budget,n2q,mode,test_acc
medium,0,11,22,learned,0.9333333333333333
medium,0,11,22,random,0.95
medium,0,11,22,random,0.9333333333333333
medium,0,10,20,learned,0.95
medium,0,10,20,random,0.9166666666666666
medium,0,10,20,random,0.9
medium,0,9,18,learned,0.9333333333333333
medium,0,9,18,random,0.9166666666666666
medium,0,9,18,random,0.9166666666666666
medium,0,8,16,learned,0.9666666666666667
medium,0,8,16,random,0.9833333333333333
medium,0,8,16,random,0.95
medium,0,7,14,learned,0.9166666666666666
medium,0,7,14,random,0.9166666666666666
medium,0,7,14,random,0.9166666666666666
medium,0,6,12,learned,0.9666666666666667
medium,0,6,12,random,0.95
medium,0,6,12,random,0.9333333333333333
medium,0,5,10,learned,0.95
medium,0,5,10,random,0.9166666666666666
medium,0,5,10,random,0.9
medium,0,4,8,learned,0.9666666666666667
medium,0,4,8,random,0.9333333333333333
medium,0,4,8,random,0.9166666666666666
medium,0,3,6,learned,0.9666666666666667
medium,0,3,6,random,0.9
medium,0,3,6,random,0.9166666666666666
medium,0,2,4,learned,0.9666666666666667
medium,0,2,4,random,0.9166666666666666
medium,0,2,4,random,0.95
medium,0,1,2,learned,0.9833333333333333
medium,0,1,2,random,0.9833333333333333
medium,0,1,2,random,0.9166666666666666
medium,1,11,22,learned,0.95
medium,1,11,22,random,0.9166666666666666
medium,1,11,22,random,0.9833333333333333
medium,1,10,20,learned,0.9166666666666666
medium,1,10,20,random,0.95
medium,1,10,20,random,0.9333333333333333
medium,1,9,18,learned,0.95
medium,1,9,18,random,0.9333333333333333
medium,1,9,18,random,0.95
medium,1,8,16,learned,0.95
medium,1,8,16,random,0.9333333333333333
medium,1,8,16,random,0.9833333333333333
medium,1,7,14,learned,0.95
medium,1,7,14,random,0.9833333333333333
medium,1,7,14,random,0.9666666666666667
medium,1,6,12,learned,0.9666666666666667
medium,1,6,12,random,0.9833333333333333
medium,1,6,12,random,0.9833333333333333
medium,1,5,10,learned,0.9666666666666667
medium,1,5,10,random,0.9333333333333333
medium,1,5,10,random,0.9666666666666667
medium,1,4,8,learned,0.9666666666666667
medium,1,4,8,random,1.0
medium,1,4,8,random,0.95
medium,1,3,6,learned,1.0
medium,1,3,6,random,0.9666666666666667
medium,1,3,6,random,0.95
medium,1,2,4,learned,1.0
medium,1,2,4,random,0.9666666666666667
medium,1,2,4,random,0.9166666666666666
medium,1,1,2,learned,1.0
medium,1,1,2,random,0.9666666666666667
medium,1,1,2,random,0.95
medium,2,11,22,learned,0.8833333333333333
medium,2,11,22,random,0.8333333333333334
medium,2,11,22,random,0.95
medium,2,10,20,learned,0.8833333333333333
medium,2,10,20,random,0.95
medium,2,10,20,random,0.9166666666666666
medium,2,9,18,learned,0.8833333333333333
medium,2,9,18,random,0.9
medium,2,9,18,random,0.95
medium,2,8,16,learned,0.9
medium,2,8,16,random,0.9333333333333333
medium,2,8,16,random,0.95
medium,2,7,14,learned,0.9
medium,2,7,14,random,0.9
medium,2,7,14,random,0.9333333333333333
medium,2,6,12,learned,0.8833333333333333
medium,2,6,12,random,0.9166666666666666
medium,2,6,12,random,0.9
medium,2,5,10,learned,0.9333333333333333
medium,2,5,10,random,0.85
medium,2,5,10,random,0.9666666666666667
medium,2,4,8,learned,0.95
medium,2,4,8,random,0.95
medium,2,4,8,random,0.8833333333333333
medium,2,3,6,learned,0.9166666666666666
medium,2,3,6,random,0.8833333333333333
medium,2,3,6,random,0.9
medium,2,2,4,learned,0.9333333333333333
medium,2,2,4,random,0.9666666666666667
medium,2,2,4,random,0.9666666666666667
medium,2,1,2,learned,0.9333333333333333
medium,2,1,2,random,0.9666666666666667
medium,2,1,2,random,0.9166666666666666
